ID,total_centroid_THz,total_std_THz,total_skewness,total_spectral_entropy,total_peak_THz,total_q05_THz,total_q50_THz,total_q95_THz,total_bandwidth90_THz,total_fraction_below_2THz,total_fraction_below_5THz,total_fraction_below_10THz,total_fraction_below_20THz
00x,15.313644682628844,10.952826109261602,0.6402720251922674,0.7196984364399324,3.5,1.982819334494082,11.539921701923904,34.73012545223428,32.7473061177402,0.023466957289187046,0.2079381068474041,0.4042077670887423,0.7039295184693853
019,14.647651407688862,9.659394357881279,0.5834453288771714,0.6931623185180222,8.5,2.3814964608502853,11.288334429991075,30.242893583918377,27.86139712306809,0.013941963333192127,0.1646352760388869,0.4273782655434256,0.7449549957648944
09w,7.5215035250835065,4.24825509767006,0.41899230264714077,0.5820649378499504,2.5,1.0214653347374891,6.658215591147598,15.804387325850628,14.78292199111314,0.08686223931851018,0.3351962753378867,0.7134963524756578,1.0
0fh,15.038981563965939,9.904968416899003,0.6968391097627196,0.7080710000191883,7.5,2.6960300790763583,11.739832325984437,32.25486789538599,29.558837816309634,0.006983047346199112,0.13443542321416185,0.3997164562479216,0.7574160368333953
0iv,7.590747048672352,4.403411351538977,1.1158076414411868,0.5302943131696127,6.5,1.9734171244086751,6.000657164528794,16.763701266084528,14.790284141675853,0.018133991788053708,0.29201021399931043,0.810862063901579,0.9999999999999998
10s,7.416563965468318,4.487766266233921,0.5066391711380364,0.594947965002046,2.5,0.9524564787597732,6.349569347377244,15.938611955928224,14.98615547716845,0.09530626404873185,0.37026455056439567,0.7107848997806805,1.0
11b,8.603502455070988,3.5412349800992833,0.09094067786647834,0.5445975647253635,7.5,2.651536060462583,7.7193806101377875,13.872724482486397,11.221188422023815,0.009879859648038608,0.18129268114430153,0.6414537085590575,1.0
122,7.865308482633253,4.46188279207108,0.49907616714004,0.5912343758798041,2.5,1.27240096284241,6.904779637143074,16.214424810711026,14.942023847868617,0.06158522080119576,0.308333761896225,0.7033634244225462,1.0000000000000002
13q,7.669841503520583,4.2877086004736515,0.4001853359011486,0.591315800258839,10.5,1.0464696172384258,6.872558034533738,15.392188814001454,14.345719196763028,0.08199430384906796,0.32413461679058064,0.694771187226471,1.0000000000000002
1dm,15.040141355164844,9.838624681289406,0.7365954601374676,0.7169775364734603,7.5,2.8192780359094627,11.661558389299895,33.067196461680496,30.247918425771033,0.007668066893589613,0.127809128355609,0.39273558749452153,0.7622993642894567
1e9,6.707311751486808,3.2252590772688112,-0.0830783284719455,0.5310324181262458,8.5,1.183793951846435,6.624169550666026,11.113139851348636,9.929345899502202,0.07050967160708134,0.35195686226074674,0.8230994129454771,1.0
1kq,7.307832460330272,4.452783084059699,0.5019617070745378,0.5878125063333013,2.5,0.9673118724347394,6.22145822981639,15.844894831973509,14.877582959538769,0.09759146498522767,0.36934010107401904,0.7070680035428379,1.0
1m8,7.110490830483277,4.069728385625573,0.32274264933117364,0.572735525806025,9.5,0.8285274129784507,6.133618315188032,13.0617504035874,12.23322299060895,0.10816462077787856,0.3669263674365697,0.7180286309690675,0.9999999999999998
