ID,split,file,mode,parse_mode,metadata_source,numeric_rows,density_columns_in_source,min_frequency_raw_THz,max_frequency_raw_THz,negative_frequency_points,zero_frequency_points,used_positive_frequency_points,negative_intensity_points_clipped,negative_frequency_area_diagnostic,positive_area_0_to_100_THz,status,error,imaginary_area_fraction
1ty,test,/content/obelix_audit_filtered_spectra/Test_cif/1ty/Lithium_PDOS_1ty.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.7724706262186,14.883266474711911,22,0,179,0,0.003669294401466793,48.64208233204039,ok,,7.54288767011735e-05
24k,test,/content/obelix_audit_filtered_spectra/Test_cif/24k/Lithium_PDOS_24k.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.6950521107331566,19.308351516132213,17,0,184,0,0.0,39.098541723950035,ok,,0.0
2r7,test,/content/obelix_audit_filtered_spectra/Test_cif/2r7/Lithium_PDOS_2r7.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.5760849885776085,30.687988493310723,21,0,180,0,0.0035571347412930573,35.98362257703289,ok,,9.884449878491713e-05
2uv,test,/content/obelix_audit_filtered_spectra/Test_cif/2uv/Lithium_PDOS_2uv.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.0760782331335723,12.643587068617355,16,0,185,0,0.0,48.549885560500314,ok,,0.0
4p7,test,/content/obelix_audit_filtered_spectra/Test_cif/4p7/Lithium_PDOS_4p7.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.829742701507762,21.559751042013637,24,0,177,0,0.13511727768550263,8.855016301819362,ok,,0.015029507235969708
7cr,test,/content/obelix_audit_filtered_spectra/Test_cif/7cr/Lithium_PDOS_7cr.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-4.875590744076707,40.468921370589214,22,0,179,0,0.001495620017500316,12.56765190994649,ok,,0.00011899136468363187
9n0,test,/content/obelix_audit_filtered_spectra/Test_cif/9n0/Lithium_PDOS_9n0.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-6.6073543787089655,32.33600407639956,34,0,167,0,0.011693825744754952,8.812574800320153,ok,,0.0013251892298715854
9o6,test,/content/obelix_audit_filtered_spectra/Test_cif/9o6/Lithium_PDOS_9o6.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.1269679031015425,24.58198214652525,16,0,185,0,0.0,136.16918999950488,ok,,0.0
aab,test,/content/obelix_audit_filtered_spectra/Test_cif/aab/Lithium_PDOS_aab.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.093131155429525,12.72276228537608,16,0,185,0,0.0,48.94409089355376,ok,,0.0
ar1,test,/content/obelix_audit_filtered_spectra/Test_cif/ar1/Lithium_PDOS_ar1.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.4913642317303566,15.409155995369888,18,0,183,0,1.9936160004919572e-05,48.11982335581177,ok,,4.1430226370345816e-07
ard,test,/content/obelix_audit_filtered_spectra/Test_cif/ard/Lithium_PDOS_ard.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-4.683522684869461,38.04621088322918,22,0,179,0,0.0022266354632954626,24.46999210364948,ok,,9.09862520857881e-05
b56,test,/content/obelix_audit_filtered_spectra/Test_cif/b56/Lithium_PDOS_b56.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.228870915184269,30.798645617223183,19,0,182,0,0.000396329840429102,23.722446892980372,ok,,1.6706675363762564e-05
bnu,test,/content/obelix_audit_filtered_spectra/Test_cif/bnu/Lithium_PDOS_bnu.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.544510599995406,29.09267281178725,17,0,184,0,0.0,54.18038470721493,ok,,0.0
br1,test,/content/obelix_audit_filtered_spectra/Test_cif/br1/Lithium_PDOS_br1.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.154601853304815,27.201174931991336,15,0,186,0,0.0,71.53726573829775,ok,,0.0
cfy,test,/content/obelix_audit_filtered_spectra/Test_cif/cfy/Lithium_PDOS_cfy.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.0673248545962752,20.62805963286799,19,0,182,0,2.2027167179798174e-05,6.028351353848287,ok,,3.653915540329013e-06
cz2,test,/content/obelix_audit_filtered_spectra/Test_cif/cz2/Lithium_PDOS_cz2.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.134876486572728,13.22805205290017,16,0,185,0,0.0,50.53554791491085,ok,,0.0
