frequency_THz,low_mean,high_mean,high_minus_low,difference_ci95_low,difference_ci95_high,low_quartile_threshold,high_quartile_threshold,n_low,n_high,cumulative_high_minus_low
0.5,0.0010847828407204315,0.0039864651093942365,0.002901682268673805,0.002147470689150207,0.0037196879839085364,-8.31229715085236,-3.2288747878508635,54,54,0.002901682268673805
1.5,0.006418720753473423,0.021985509201464724,0.015566788447991302,0.012274335950621336,0.018918959409044388,-8.31229715085236,-3.2288747878508635,54,54,0.018468470716665106
2.5,0.016356776301346472,0.0416548664229894,0.025298090121642927,0.018939166932059263,0.03113870903583193,-8.31229715085236,-3.2288747878508635,54,54,0.04376656083830803
3.5,0.027694105380380574,0.052429455278918534,0.02473534989853796,0.013917715546944702,0.03405762681109373,-8.31229715085236,-3.2288747878508635,54,54,0.06850191073684599
4.5,0.03776827496464666,0.06605038142361966,0.028282106458973,0.014563198301614549,0.03906968821807887,-8.31229715085236,-3.2288747878508635,54,54,0.09678401719581899
5.5,0.03860688201917624,0.07802061148001356,0.03941372946083732,0.030429113072880376,0.04812119257271322,-8.31229715085236,-3.2288747878508635,54,54,0.1361977466566563
6.5,0.05166812179304342,0.08833575701419555,0.03666763522115213,0.025574713332548245,0.04819272997048411,-8.31229715085236,-3.2288747878508635,54,54,0.17286538187780842
7.5,0.07516752655926877,0.08706694982483484,0.011899423265566075,-0.003770748323958631,0.027176533666216682,-8.31229715085236,-3.2288747878508635,54,54,0.1847648051433745
8.5,0.10319623338546426,0.09524034505133525,-0.00795588833412901,-0.027542700551265127,0.009200687079304258,-8.31229715085236,-3.2288747878508635,54,54,0.1768089168092455
9.5,0.10855411719791812,0.10438798674727508,-0.004166130450643041,-0.02119210413474131,0.011248058057923857,-8.31229715085236,-3.2288747878508635,54,54,0.17264278635860245
10.5,0.1097468470755713,0.11063884971763006,0.0008920026420587701,-0.013486126899816786,0.015090892847082574,-8.31229715085236,-3.2288747878508635,54,54,0.17353478900066122
11.5,0.11513588896634899,0.09703228770000323,-0.018103601266345762,-0.033562797095550434,-0.0012142672277982568,-8.31229715085236,-3.2288747878508635,54,54,0.15543118773431547
12.5,0.0996020329833141,0.06875697990933181,-0.03084505307398229,-0.0486930996429882,-0.014449077596686764,-8.31229715085236,-3.2288747878508635,54,54,0.12458613466033318
13.5,0.07644405801703767,0.044891283638196354,-0.03155277437884132,-0.047605193697495184,-0.015478652915152333,-8.31229715085236,-3.2288747878508635,54,54,0.09303336028149187
14.5,0.05194161006985331,0.0123004109015155,-0.03964119916833781,-0.051589540539589376,-0.028276547503775007,-8.31229715085236,-3.2288747878508635,54,54,0.053392161113154056
15.5,0.028164816961422166,0.008429897518147092,-0.019734919443275073,-0.028467946808622108,-0.010590483387648307,-8.31229715085236,-3.2288747878508635,54,54,0.03365724166987898
16.5,0.018477128750320565,0.00834024782689859,-0.010136880923421975,-0.01825611240738765,-0.0021684711893412384,-8.31229715085236,-3.2288747878508635,54,54,0.023520360746457008
17.5,0.016230714065593847,0.004436365444304813,-0.011794348621289034,-0.018326569058985623,-0.005216058632253488,-8.31229715085236,-3.2288747878508635,54,54,0.011726012125167974
18.5,0.008135800688886911,0.001961253010519011,-0.006174547678367901,-0.009731366552804458,-0.0026784162504177498,-8.31229715085236,-3.2288747878508635,54,54,0.005551464446800073
19.5,0.002494328102746864,0.0019079319943425483,-0.0005863961084043158,-0.0023518220436021696,0.0014795233439784186,-8.31229715085236,-3.2288747878508635,54,54,0.004965068338395757
20.5,0.002297993604382231,0.0011821717701669056,-0.0011158218342153252,-0.0027234780215732108,0.0008816877504805075,-8.31229715085236,-3.2288747878508635,54,54,0.003849246504180432
21.5,0.0013544482874897168,0.00041914502779339633,-0.0009353032596963204,-0.001729393038449025,-7.873306668230228e-05,-8.31229715085236,-3.2288747878508635,54,54,0.0029139432444841113
22.5,0.0006798896097669082,0.0001747625967684426,-0.0005051270129984657,-0.0009294737121638406,2.863007850996142e-05,-8.31229715085236,-3.2288747878508635,54,54,0.0024088162314856456
23.5,0.0005593760187495198,0.0,-0.0005593760187495198,-0.0008263117622717024,-0.00033026241307940646,-8.31229715085236,-3.2288747878508635,54,54,0.0018494402127361257
24.5,0.0003822992432582222,0.0,-0.0003822992432582222,-0.0005593346839490489,-0.00022137848081899748,-8.31229715085236,-3.2288747878508635,54,54,0.0014671409694779036
25.5,0.0001977271685565286,3.7248730655027565e-06,-0.00019400229549102583,-0.00029464530632981,-0.0001020767736509158,-8.31229715085236,-3.2288747878508635,54,54,0.0012731386739868776
26.5,0.0004427548082444281,9.883843260722494e-06,-0.0004328709649837056,-0.0006716060865105361,-0.00023273808792413777,-8.31229715085236,-3.2288747878508635,54,54,0.000840267709003172
27.5,0.00023889877429728693,2.6242316853835186e-05,-0.00021265645744345175,-0.00033737839053330263,-0.000103822195987697,-8.31229715085236,-3.2288747878508635,54,54,0.0006276112515597202
28.5,0.0001633043101487486,3.712105239579445e-05,-0.00012618325775295416,-0.00020778902413296545,-5.2180837011536915e-05,-8.31229715085236,-3.2288747878508635,54,54,0.0005014279938067661
29.5,0.00016967037864534066,7.093346089824445e-05,-9.873691774709621e-05,-0.00019410423326172933,-7.3013326239025426e-06,-8.31229715085236,-3.2288747878508635,54,54,0.0004026910760596699
30.5,0.00015432923624123703,6.715324091948334e-05,-8.717599532175369e-05,-0.00018225072374233327,3.5420335749534234e-06,-8.31229715085236,-3.2288747878508635,54,54,0.0003155150807379162
31.5,0.0001710225160515265,1.4934888161373113e-05,-0.00015608762789015338,-0.0002828666057211077,-6.420985565491587e-05,-8.31229715085236,-3.2288747878508635,54,54,0.0001594274528477628
