ID,split,file,mode,parse_mode,metadata_source,numeric_rows,density_columns_in_source,min_frequency_raw_THz,max_frequency_raw_THz,negative_frequency_points,zero_frequency_points,used_positive_frequency_points,negative_intensity_points_clipped,negative_frequency_area_diagnostic,positive_area_0_to_100_THz,status,error
00x,train,/content/obelix_audit_filtered_spectra/Train_cif/00x/Lithium_PDOS_00x.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-4.189520804520139,41.99507588352155,19,0,182,0,0.0001297810403597,5.906402463302958,ok,
019,train,/content/obelix_audit_filtered_spectra/Train_cif/019/Lithium_PDOS_019.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-4.602551761047403,39.45569469556423,21,0,180,0,0.0008420726586062,18.41318969097854,ok,
09w,train,/content/obelix_audit_filtered_spectra/Train_cif/09w/Lithium_PDOS_09w.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.6591326836807407,19.174082619583466,16,0,185,0,0.0,72.71802843248366,ok,
0fh,train,/content/obelix_audit_filtered_spectra/Train_cif/0fh/Lithium_PDOS_0fh.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.6645510824844623,41.474940411601935,17,0,184,0,0.0,20.58093065149109,ok,
0iv,train,/content/obelix_audit_filtered_spectra/Train_cif/0iv/Lithium_PDOS_0iv.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.560797239561433,19.554653032146483,15,0,186,0,0.0,12.181537088387111,ok,
10s,train,/content/obelix_audit_filtered_spectra/Train_cif/10s/Lithium_PDOS_10s.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.667469228932278,19.240220966822413,16,0,185,0,0.0,72.38159368072384,ok,
11b,train,/content/obelix_audit_filtered_spectra/Train_cif/11b/Lithium_PDOS_11b.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.432855987183733,16.726097435590585,35,0,166,0,0.0407176458405257,17.826724447491276,ok,
122,train,/content/obelix_audit_filtered_spectra/Train_cif/122/Lithium_PDOS_122.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.723057084225641,19.914432810563003,16,0,185,0,0.0,72.31518660568993,ok,
13q,train,/content/obelix_audit_filtered_spectra/Train_cif/13q/Lithium_PDOS_13q.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.697153685066937,19.24422344357259,17,0,184,0,0.0,59.38978857474704,ok,
1dm,train,/content/obelix_audit_filtered_spectra/Train_cif/1dm/Lithium_PDOS_1dm.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.639681614444848,41.44949289909506,17,0,184,0,0.0,28.540640658941783,ok,
1e9,train,/content/obelix_audit_filtered_spectra/Train_cif/1e9/Lithium_PDOS_1e9.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.3052370050486644,14.01287737951812,18,0,183,0,1.7331024636925218e-05,36.56690649503018,ok,
1kq,train,/content/obelix_audit_filtered_spectra/Train_cif/1kq/Lithium_PDOS_1kq.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.6377234085250458,18.95009432079304,16,0,185,0,0.0,70.07560884633939,ok,
1m8,train,/content/obelix_audit_filtered_spectra/Train_cif/1m8/Lithium_PDOS_1m8.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.6141149740717924,18.686433456774928,16,0,185,0,0.0,76.8809530983776,ok,
1xf,train,/content/obelix_audit_filtered_spectra/Train_cif/1xf/Lithium_PDOS_1xf.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.652808373114935,41.71958978241864,17,0,184,0,0.0,27.3922563620559,ok,
1xt,train,/content/obelix_audit_filtered_spectra/Train_cif/1xt/Lithium_PDOS_1xt.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.3048343729254097,24.5453960243042,18,0,183,0,0.0002031103041622,24.944751510185775,ok,
20k,train,/content/obelix_audit_filtered_spectra/Train_cif/20k/Lithium_PDOS_20k.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.1110671986602885,24.3577732890461,16,0,185,0,0.0,143.32695417521185,ok,
240,train,/content/obelix_audit_filtered_spectra/Train_cif/240/Lithium_PDOS_240.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.308035949487688,15.863929779527115,16,0,185,0,0.0,190.5440609573622,ok,
2t8,train,/content/obelix_audit_filtered_spectra/Train_cif/2t8/Lithium_PDOS_2t8.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-4.399619882785392,36.67700995910203,22,0,179,0,0.0008634819438455,5.835735736004095,ok,
2wb,train,/content/obelix_audit_filtered_spectra/Train_cif/2wb/Lithium_PDOS_2wb.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.1634319021974973,24.97560144830577,16,0,185,0,0.0,167.8424674600792,ok,
3nb,train,/content/obelix_audit_filtered_spectra/Train_cif/3nb/Lithium_PDOS_3nb.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-4.381043893125568,29.47120431093396,26,0,175,0,0.0100534866462058,6.151469974070388,ok,
3rx,train,/content/obelix_audit_filtered_spectra/Train_cif/3rx/Lithium_PDOS_3rx.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-4.963024927017205,27.224941614243388,31,0,170,0,0.0060469288490639,5.925441625025056,ok,
3uq,train,/content/obelix_audit_filtered_spectra/Train_cif/3uq/Lithium_PDOS_3uq.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.521641300978164,40.429414028383135,17,0,184,0,0.0,20.82269494848262,ok,
