Family,test,train,total
Halide,1,0,1
LIPON,0,1,1
argyrodite,0,1,1
Tavorite,0,1,1
boracites,0,1,1
diphosphate,0,1,1
copper pyroborate,0,1,1
nitridosilicates,0,1,1
layered,0,1,1
nitride,0,1,1
fluorophosphates,0,1,1
fluorooxoborate,0,1,1
fluorides,0,1,1
cholorides,0,1,1
silicates,1,0,1
pyrophosphate,0,1,1
zirconates,0,1,1
sugilites,0,1,1
boron nitride,0,2,2
antiperovskite,1,1,2
Borophosphates,2,0,2
hexaoxometalates,0,2,2
Chalcogenidotetrelates,1,1,2
nitrides,1,2,3
chlorides,0,3,3
Lanthanumlithiumoxide,3,0,3
hydrides,0,3,3
thio-phosphate,2,1,3
pyrochlore,0,4,4
sulfides,1,5,6
molybdates,3,3,6
halides,3,4,7
thio-LISICON,1,6,7
phosphates,0,9,9
LISICON,0,9,9
LGPS,0,11,11
perovskites,6,6,12
Unknown,8,9,17
oxides,4,23,27
NASICON,0,29,29
garnet,8,28,36
argyrodites,2,37,39
