ID,split,Family,model,observed,predicted
1ty,test,Unknown,static_rbf,-5.070581074285707,-3.5566930182283647
24k,test,argyrodites,static_rbf,-3.958607314841775,-2.170979648188123
2r7,test,molybdates,static_rbf,-8.496209316942819,-8.404161740675775
2uv,test,Chalcogenidotetrelates,static_rbf,-4.698970004336019,-8.990244077268482
4p7,test,antiperovskite,static_rbf,-1.6020599913279625,-7.616179978329315
7cr,test,Borophosphates,static_rbf,-17.356547323513812,-8.7014952217854
9n0,test,perovskites,static_rbf,-4.954677021213342,-10.273837862891844
9o6,test,garnet,static_rbf,-3.4775557664936803,-4.070447355534582
aab,test,Unknown,static_rbf,-6.080921907623926,-8.989664863224409
ar1,test,Unknown,static_rbf,-4.1249387366083,-4.005253950129333
ard,test,oxides,static_rbf,-2.795880017344075,-9.39419072218599
b56,test,molybdates,static_rbf,-10.0,-9.250361112189488
bnu,test,oxides,static_rbf,-10.0,-6.70455135902168
br1,test,nitrides,static_rbf,-7.301029995663981,-7.884972688112745
cfy,test,thio-LISICON,static_rbf,-10.10790539730952,-5.119401887451396
cz2,test,Unknown,static_rbf,-6.022276394711152,-8.765331175533532
de5,test,Halide,static_rbf,-2.690369832574101,-8.8742510126561
dvb,test,garnet,static_rbf,-4.1944991418416,-4.926606479960928
ecp,test,Lanthanumlithiumoxide,static_rbf,-10.0,-8.56662688760644
ei3,test,halides,static_rbf,-3.268411234813261,-5.78949020123661
elz,test,halides,static_rbf,-2.7166987712964503,-6.988013797017203
gwu,test,perovskites,static_rbf,-6.982966660701219,-7.498816161750963
h5i,test,perovskites,static_rbf,-4.91721462968355,-9.681404042795725
i47,test,sulfides,static_rbf,-7.267606240177032,-11.063599474287146
ipo,test,garnet,static_rbf,-6.006563769502388,-5.91606005508593
j5g,test,garnet,static_rbf,-3.72584215073632,-4.601289330068705
jy6,test,argyrodites,static_rbf,-9.0,-7.684226506973703
klr,test,Unknown,static_rbf,-4.443697499232712,-7.19070990173649
kxw,test,oxides,static_rbf,-10.0,-6.372955976827692
l2w,test,thio-phosphate,static_rbf,-7.086186147616283,-5.248016902270392
l6h,test,garnet,static_rbf,-3.211831628858832,-3.487922721621799
mdp,test,Unknown,static_rbf,-2.494850021680094,-3.447668130797762
me3,test,Lanthanumlithiumoxide,static_rbf,-9.201349354554733,-8.661667883924153
mfu,test,molybdates,static_rbf,-9.229884705212898,-7.777160833776914
mtr,test,garnet,static_rbf,-3.0291883891274822,-4.040896264396227
o0a,test,Unknown,static_rbf,-5.221848749616356,-8.989139878439296
ob9,test,thio-phosphate,static_rbf,-5.3979400086720375,-5.754182952238526
p81,test,halides,static_rbf,-6.0,-7.237953514308006
ro9,test,Borophosphates,static_rbf,-11.017728766960431,-9.355820423387556
s2v,test,garnet,static_rbf,-2.8601209135987635,-4.029070645575208
um1,test,oxides,static_rbf,-10.0,-7.839400046188656
ux3,test,silicates,static_rbf,-10.0,-9.001637419804123
vwy,test,perovskites,static_rbf,-3.175223537524454,-8.286196258994824
wa3,test,garnet,static_rbf,-3.595166283380062,-3.835163293079536
wgw,test,perovskites,static_rbf,-10.0,-8.57284177719426
xq3,test,perovskites,static_rbf,-10.0,-8.34294062632997
zs0,test,Lanthanumlithiumoxide,static_rbf,-9.138465589140962,-8.754369781870256
zv5,test,Unknown,static_rbf,-4.552841968657781,-7.050768399433121
