ID,totalDOS_positive_area,totalDOS_centroid_THz,totalDOS_std_THz,totalDOS_median_THz,totalDOS_q05_THz,totalDOS_q95_THz,totalDOS_bandwidth90_THz,totalDOS_peak_THz,totalDOS_spectral_entropy,totalDOS_fraction_below_2THz,totalDOS_fraction_below_5THz,totalDOS_fraction_below_10THz,totalDOS_fraction_below_20THz,LiPDOS_positive_area,LiPDOS_centroid_THz,LiPDOS_std_THz,LiPDOS_median_THz,LiPDOS_q05_THz,LiPDOS_q95_THz,LiPDOS_bandwidth90_THz,LiPDOS_peak_THz,LiPDOS_spectral_entropy,LiPDOS_fraction_below_2THz,LiPDOS_fraction_below_5THz,LiPDOS_fraction_below_10THz,LiPDOS_fraction_below_20THz
00x,105.9621754806238,15.3205276044927,10.943244021325896,12.032230851461897,2.550662881335862,35.1418570962617,32.59119421492584,5.5092444999686165,0.7196984364399327,0.023466957289187115,0.20793810684740402,0.40420776708874206,0.703929518469385,5.906402463302958,10.516479629177356,2.7810619796685665,10.768738973165558,5.382229827554309,14.872541920248159,9.490312092693848,11.05139610253362,0.4816639466114771,0.003900765665017672,0.043613092562803046,0.3607980591882119,0.9945515770028663
019,345.5425385925067,14.647008232018422,9.649585753852797,11.815797377673409,2.9090015915247003,30.67684630209229,27.76784471056759,26.89909445542991,0.6931623185180222,0.013941963333192187,0.16463527603888672,0.42737826554342534,0.7449549957648942,18.41318969097854,7.933048824996726,4.035970963835467,7.745525453885023,2.4621492243895955,13.84896817364782,11.386818949258226,11.258416963332785,0.5781929644215336,0.028788632112837165,0.29820364235548824,0.6736659046071427,0.9958342939633182
09w,153.9778438470607,7.504796114353155,4.215877599555878,7.17036547988152,1.5976806597255757,16.405250519388453,14.807569859662877,16.465764630159118,0.5820649378499505,0.08686223931851014,0.33519627533788654,0.7134963524756573,0.9999999999999994,72.71802843248366,8.487866398419985,3.1311008525916146,8.943176752865277,2.920648329650706,13.08995417316278,10.169305843512074,13.44494841118581,0.54130850569504,0.02127858620078195,0.16444710209719407,0.6461284015994921,0.9999999999999996
0fh,331.27069097394053,15.039013577359048,9.8986543977018,12.252517606173077,3.217275266119493,32.63579345365108,29.41851818753159,30.86715991049164,0.7080710000191887,0.006983047346199192,0.13443542321416185,0.3997164562479215,0.757416036833395,20.580930651491094,9.374499223081623,4.084473887800615,9.489784199604992,3.297212635892954,15.681601834810678,12.384389198917724,9.877296365741458,0.5934126486727062,0.005096377581147018,0.16350373238339044,0.5532733336323302,0.9955194923092635
0iv,36.26373964339357,7.587273256195384,4.401807425536375,6.526243699507487,2.6266228335571746,17.091379530366293,14.464756696809118,3.190179071572848,0.5302943131696128,0.018133991788053784,0.2920102139993106,0.8108620639015793,1.0000000000000002,12.181537088387113,6.545175135308745,1.8400021427001327,6.659401863059492,3.164730217826398,9.062903609794112,5.898173391967715,6.779805617763193,0.4220202219976901,0.004642713205844935,0.16684175814558427,0.9854585733050688,1.0
10s,157.97664983033192,7.421391798384539,4.481747358549226,6.847094377301914,1.5376062535499213,16.48572599834748,14.948119744797559,11.817990947329498,0.594947965002046,0.09530626404873185,0.3702645505643955,0.7107848997806804,1.0,72.38159368072384,8.181843845255576,3.438395536777321,8.678333992359017,2.3680770055136153,13.085772348912405,10.71769534339879,11.817990947329498,0.5630010785054119,0.03190900965838219,0.22348813345797724,0.6557721172116712,1.0
11b,23.88135190016639,8.610824784893326,3.555084447675861,8.208562659866784,3.1983718970768718,14.269287877703054,11.070915980626182,10.476821874530549,0.5445975647253637,0.009879859648038659,0.18129268114430153,0.6414537085590573,0.9999999999999999,17.826724447491276,9.327994648534167,3.5847178559501693,9.66786248920596,3.2051384545620234,14.400006782306278,11.194868327744254,10.577616641644418,0.5393682287345035,0.009932854412704051,0.1454751025436873,0.5476060315930366,1.0
122,159.39516022638833,7.869543713983912,4.442806947561072,7.407760393464207,1.8503743589389134,16.632323290026637,14.781948931087724,16.560621876870762,0.5912343758798042,0.061585220801195786,0.30833376189622486,0.703363424422546,1.0,72.31518660568993,8.520205157531192,3.1039591003262936,8.611967598545377,2.7377060414514314,13.598403490564088,10.860697449112656,8.013813368429249,0.5493617672832892,0.023124008294059424,0.13190378720738452,0.6700422522248862,1.0000000000000007
13q,148.60768387765617,7.6744243414635775,4.2871180048474455,7.3936779993732324,1.5959291918857432,15.935181644791463,14.33925245290572,10.553551935187189,0.5913158002588391,0.08199430384906803,0.32413461679058075,0.6947711872264711,1.0000000000000004,59.389788574747044,8.413609893267934,3.1534256454961374,8.774217263776405,2.759153945660983,12.9049302713592,10.145776325698218,10.553551935187189,0.5446364576108502,0.02623432972925552,0.1645807724114455,0.6291315425964319,0.9999999999999993
1dm,350.9303374954641,15.041300551805094,9.837238557007469,12.14189063509069,3.337020825244799,33.66301185810512,30.325991032860323,16.650446916648114,0.7169775364734606,0.007668066893589754,0.12780912835560904,0.3927355874945212,0.7622993642894559,28.540640658941786,9.213873350377865,4.03927094238503,9.027380157812438,3.260066701907529,15.382056397445385,12.121989695537856,13.719650573268018,0.5868937310098624,0.0246595260990408,0.1374978334863792,0.5862541695880589,0.9953016981291367
