ID,totalDOS_000.00_001.00THz,totalDOS_001.00_002.00THz,totalDOS_002.00_003.00THz,totalDOS_003.00_004.00THz,totalDOS_004.00_005.00THz,totalDOS_005.00_006.00THz,totalDOS_006.00_007.00THz,totalDOS_007.00_008.00THz,totalDOS_008.00_009.00THz,totalDOS_009.00_010.00THz,totalDOS_010.00_011.00THz,totalDOS_011.00_012.00THz,totalDOS_012.00_013.00THz,totalDOS_013.00_014.00THz,totalDOS_014.00_015.00THz,totalDOS_015.00_016.00THz,totalDOS_016.00_017.00THz,totalDOS_017.00_018.00THz,totalDOS_018.00_019.00THz,totalDOS_019.00_020.00THz,totalDOS_020.00_021.00THz,totalDOS_021.00_022.00THz,totalDOS_022.00_023.00THz,totalDOS_023.00_024.00THz,totalDOS_024.00_025.00THz,totalDOS_025.00_026.00THz,totalDOS_026.00_027.00THz,totalDOS_027.00_028.00THz,totalDOS_028.00_029.00THz,totalDOS_029.00_030.00THz,totalDOS_030.00_031.00THz,totalDOS_031.00_032.00THz,totalDOS_032.00_033.00THz,totalDOS_033.00_034.00THz,totalDOS_034.00_035.00THz,totalDOS_035.00_036.00THz,totalDOS_036.00_037.00THz,totalDOS_037.00_038.00THz,totalDOS_038.00_039.00THz,totalDOS_039.00_040.00THz,totalDOS_040.00_041.00THz,totalDOS_041.00_042.00THz,totalDOS_042.00_043.00THz,totalDOS_043.00_044.00THz,totalDOS_044.00_045.00THz,totalDOS_045.00_046.00THz,totalDOS_046.00_047.00THz,totalDOS_047.00_048.00THz,totalDOS_048.00_049.00THz,totalDOS_049.00_050.00THz,totalDOS_050.00_051.00THz,totalDOS_051.00_052.00THz,totalDOS_052.00_053.00THz,totalDOS_053.00_054.00THz,totalDOS_054.00_055.00THz,totalDOS_055.00_056.00THz,totalDOS_056.00_057.00THz,totalDOS_057.00_058.00THz,totalDOS_058.00_059.00THz,totalDOS_059.00_060.00THz,totalDOS_060.00_061.00THz,totalDOS_061.00_062.00THz,totalDOS_062.00_063.00THz,totalDOS_063.00_064.00THz,totalDOS_064.00_065.00THz,totalDOS_065.00_066.00THz,totalDOS_066.00_067.00THz,totalDOS_067.00_068.00THz,totalDOS_068.00_069.00THz,totalDOS_069.00_070.00THz,totalDOS_070.00_071.00THz,totalDOS_071.00_072.00THz,totalDOS_072.00_073.00THz,totalDOS_073.00_074.00THz,totalDOS_074.00_075.00THz,totalDOS_075.00_076.00THz,totalDOS_076.00_077.00THz,totalDOS_077.00_078.00THz,totalDOS_078.00_079.00THz,totalDOS_079.00_080.00THz,totalDOS_080.00_081.00THz,totalDOS_081.00_082.00THz,totalDOS_082.00_083.00THz,totalDOS_083.00_084.00THz,totalDOS_084.00_085.00THz,totalDOS_085.00_086.00THz,totalDOS_086.00_087.00THz,totalDOS_087.00_088.00THz,totalDOS_088.00_089.00THz,totalDOS_089.00_090.00THz,totalDOS_090.00_091.00THz,totalDOS_091.00_092.00THz,totalDOS_092.00_093.00THz,totalDOS_093.00_094.00THz,totalDOS_094.00_095.00THz,totalDOS_095.00_096.00THz,totalDOS_096.00_097.00THz,totalDOS_097.00_098.00THz,totalDOS_098.00_099.00THz,totalDOS_099.00_100.00THz
00x,0.0021631307678812526,0.021303826521305854,0.054954391457035026,0.06725413933675067,0.06226261876443113,0.06489106888365827,0.005179566880834368,0.0273832688409726,0.04485925694641261,0.05395649868946011,0.04621603017312358,0.047455783515927684,0.05311444953544912,0.023179087219838256,0.028105589643786687,0.03370769268004689,0.03965978422804151,0.01139818969565992,0.0,0.016885144688769144,0.012104716836981914,0.015388034119096361,0.02327787902449156,0.0007581535009041987,0.0,0.0018656767640293406,0.012930464848451463,0.010565821754740284,0.010433822690452134,0.010092516751675775,0.04711813761044541,0.023248289140475206,0.029271980787675872,0.003350562813630641,0.035871088487428086,0.04255651126398027,0.00803990206611857,0.008454246253098402,0.0007426768169398216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019,0.00078848378856666,0.01315347954462553,0.04090548092731591,0.054881165225537945,0.05490666655284071,0.04580660024257534,0.049841792221838266,0.052962863861140366,0.06641161922714926,0.04772011395183539,0.03936968880281166,0.04218012608448315,0.05004586553854895,0.018395868051815978,0.002615578264815298,0.043351126731392194,0.053399101417838546,0.01760497136458513,0.03403613523107473,0.01657826873410335,0.0,0.0,0.0,0.0,0.0,0.0,0.03348467711772153,0.056138143237455536,0.051803169097527794,0.03756862582620253,0.035066111109475134,0.008055735480693375,0.002266104759262693,0.00860169424873412,0.01326736470081205,0.008793378657220876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09w,0.009830747152130634,0.07703149216637956,0.09709826340908247,0.062190327187858566,0.08904544542243548,0.07483916470690337,0.07877395687463494,0.07073009050122833,0.06597762094071921,0.08797924411428518,0.05708105295024853,0.07814287198563194,0.05959512273365777,0.02977072880499947,0.0,0.0,0.03914049645960275,0.022773374590201817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0fh,0.0006117020444087347,0.006371345301790457,0.03407754317403876,0.04560223370761388,0.047772598986310026,0.05113425682815789,0.04836290193911375,0.06784274413734553,0.054265512651021974,0.04367561747812049,0.04691663768884093,0.04272932082008161,0.04435425958319724,0.05061043227010304,0.016171551931500053,0.04374095315023668,0.0522439727512959,0.012465483965281405,0.03674741459225613,0.011719553832680432,0.0001706008372723867,0.0,0.0,0.0,0.0,0.00464428752100654,0.010091060878946652,0.010590906516738491,0.024656010725553356,0.04783757134789686,0.04989632846389099,0.029302005341519756,0.020394550659632468,0.014249665649200485,0.017353845077299007,0.005069162210151851,0.004429933311980471,0.003898034625515746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0iv,0.0017109278600865772,0.016423063927967205,0.0673106370027251,0.11220930141795786,0.09435628379057374,0.13518468041811102,0.14541908263931638,0.11365983760304686,0.0954328418850734,0.02915540735672095,0.027174099803645612,0.0,0.0,0.02062897708379587,0.0003830305587290037,0.01268509735108931,0.0603595114501755,0.06790721985098558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10s,0.012561674274187943,0.08274458977454391,0.11759751072007946,0.0703229533558818,0.0870378224397024,0.06757542919328613,0.07316650539972522,0.06894436975811329,0.06329356623906378,0.06754047862609643,0.05937317945052287,0.0706402727914447,0.0474817441812377,0.018038355682313472,0.009785568197436288,0.017150448803436767,0.03817846478327202,0.02856706632965585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11b,0.0015929299946534604,0.0082869296533852,0.03041199352934804,0.06406492812983276,0.07693589983708211,0.0798262262196442,0.10429310449784059,0.12433956737027071,0.04671525328289538,0.10498687604410498,0.11055037047965614,0.012590782196361703,0.06394476580028964,0.09255353933474063,0.07755550007625067,0.001351333553643816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.01068333234911894,0.05090188845207684,0.10005219019612245,0.08556406600303992,0.0611322848958667,0.06398604081338838,0.08912458266115907,0.09525087502264787,0.07873109704975713,0.0679370669793686,0.06714848656402603,0.044391046323853975,0.053363925587089946,0.021243197758857253,0.013902511439172203,0.0,0.06520967246096727,0.028739538827998776,0.0026381966154886164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13q,0.011449297240574226,0.07054500660849378,0.08252363961244176,0.07800683913641815,0.08160983419265272,0.07525084363255727,0.073182439205668,0.0736317508372237,0.06713077077402238,0.08144076598641886,0.09173518074099912,0.0620888522156855,0.04194054907539186,0.019589389166532724,0.0,0.04469327674719615,0.023758388951374877,0.02142317587634892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1dm,0.0005523800524543887,0.007115686841135371,0.0291443514742671,0.04130438097496578,0.04969232901278647,0.05173788726089467,0.04840422541086504,0.06013747193730022,0.05626417834417307,0.04838269618567934,0.05062423614758159,0.049592225190439626,0.0436247922376493,0.05474018866290898,0.01885568298512164,0.03653306873402018,0.050805592421056825,0.013339604220936822,0.01915228644831732,0.03229609974690265,0.0018538729922321405,0.0,0.0,0.0,0.003534348780174646,0.000489701221919539,0.013382383361485393,0.01932684352701061,0.02699023440605684,0.0356956473689884,0.03433857680103394,0.03085789172351441,0.015716992031094414,0.009721752284377213,0.02211827234646855,0.014521001554361678,0.004709084326656156,0.00444403298516969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
