ID,totalDOS_000.00_001.00THz,totalDOS_001.00_002.00THz,totalDOS_002.00_003.00THz,totalDOS_003.00_004.00THz,totalDOS_004.00_005.00THz,totalDOS_005.00_006.00THz,totalDOS_006.00_007.00THz,totalDOS_007.00_008.00THz,totalDOS_008.00_009.00THz,totalDOS_009.00_010.00THz,totalDOS_010.00_011.00THz,totalDOS_011.00_012.00THz,totalDOS_012.00_013.00THz,totalDOS_013.00_014.00THz,totalDOS_014.00_015.00THz,totalDOS_015.00_016.00THz,totalDOS_016.00_017.00THz,totalDOS_017.00_018.00THz,totalDOS_018.00_019.00THz,totalDOS_019.00_020.00THz,totalDOS_020.00_021.00THz,totalDOS_021.00_022.00THz,totalDOS_022.00_023.00THz,totalDOS_023.00_024.00THz,totalDOS_024.00_025.00THz,totalDOS_025.00_026.00THz,totalDOS_026.00_027.00THz,totalDOS_027.00_028.00THz,totalDOS_028.00_029.00THz,totalDOS_029.00_030.00THz,totalDOS_030.00_031.00THz,totalDOS_031.00_032.00THz,totalDOS_032.00_033.00THz,totalDOS_033.00_034.00THz,totalDOS_034.00_035.00THz,totalDOS_035.00_036.00THz,totalDOS_036.00_037.00THz,totalDOS_037.00_038.00THz,totalDOS_038.00_039.00THz,totalDOS_039.00_040.00THz,totalDOS_040.00_041.00THz,totalDOS_041.00_042.00THz,totalDOS_042.00_043.00THz,totalDOS_043.00_044.00THz,totalDOS_044.00_045.00THz,totalDOS_045.00_046.00THz,totalDOS_046.00_047.00THz,totalDOS_047.00_048.00THz,totalDOS_048.00_049.00THz,totalDOS_049.00_050.00THz,totalDOS_050.00_051.00THz,totalDOS_051.00_052.00THz,totalDOS_052.00_053.00THz,totalDOS_053.00_054.00THz,totalDOS_054.00_055.00THz,totalDOS_055.00_056.00THz,totalDOS_056.00_057.00THz,totalDOS_057.00_058.00THz,totalDOS_058.00_059.00THz,totalDOS_059.00_060.00THz,totalDOS_060.00_061.00THz,totalDOS_061.00_062.00THz,totalDOS_062.00_063.00THz,totalDOS_063.00_064.00THz,totalDOS_064.00_065.00THz,totalDOS_065.00_066.00THz,totalDOS_066.00_067.00THz,totalDOS_067.00_068.00THz,totalDOS_068.00_069.00THz,totalDOS_069.00_070.00THz,totalDOS_070.00_071.00THz,totalDOS_071.00_072.00THz,totalDOS_072.00_073.00THz,totalDOS_073.00_074.00THz,totalDOS_074.00_075.00THz,totalDOS_075.00_076.00THz,totalDOS_076.00_077.00THz,totalDOS_077.00_078.00THz,totalDOS_078.00_079.00THz,totalDOS_079.00_080.00THz,totalDOS_080.00_081.00THz,totalDOS_081.00_082.00THz,totalDOS_082.00_083.00THz,totalDOS_083.00_084.00THz,totalDOS_084.00_085.00THz,totalDOS_085.00_086.00THz,totalDOS_086.00_087.00THz,totalDOS_087.00_088.00THz,totalDOS_088.00_089.00THz,totalDOS_089.00_090.00THz,totalDOS_090.00_091.00THz,totalDOS_091.00_092.00THz,totalDOS_092.00_093.00THz,totalDOS_093.00_094.00THz,totalDOS_094.00_095.00THz,totalDOS_095.00_096.00THz,totalDOS_096.00_097.00THz,totalDOS_097.00_098.00THz,totalDOS_098.00_099.00THz,totalDOS_099.00_100.00THz
00x,0.2292100420137699,2.257399804259379,5.823086871001241,7.126394914199102,6.597482535399834,6.875998828175447,0.5488381747405988,2.9015907381602375,4.753384456486167,5.7173479824526225,4.897151099222327,5.028518060485226,5.628122622231999,2.456106507469187,2.978129421821329,3.571740446810068,4.202437015895413,1.207776976692955,0.0,1.7891866645270795,1.2826421296235395,1.6305495716295155,2.4665747020099076,0.08033559430406001,0.0,0.19769116866019942,1.370140185317652,1.119577458872783,1.1055905508594037,1.0694250310822042,4.992740365798198,2.4634392935273155,3.1017227648891605,0.3550329248167827,3.8009785729858407,4.509380514397023,0.8519255135770862,0.8958303250272195,0.07869565120196853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019,0.27245468994036093,4.545086713174514,14.134583721972103,18.963777152947177,18.972588946320855,15.82812893211161,17.222459412334246,18.300922429707768,22.94803949978808,16.489329316840895,13.603902212520524,14.575027845384312,17.29297542424945,6.3565549462372815,0.9037935535116617,14.979658381610733,18.45166106247865,6.083266497167131,11.760932571623414,5.7284970638508526,0.0,0.0,0.0,0.0,0.0,0.0,11.570380335207915,19.398116526140143,17.900198557096644,12.98155833941803,12.116833051334936,2.7835992882285154,0.783035591232192,2.972251266904152,4.584438879151207,3.038486384021269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09w,1.5137172498907066,11.861143072100866,14.950981241024461,9.575932488529695,13.711025690547729,11.523573216884017,12.129444030857627,10.890866830486601,10.159091814610619,13.546854312011831,8.789217457799168,12.032270940364484,9.176328502329568,4.584032631149398,0.0,0.0,6.026769251953141,3.506595116520714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0fh,0.20263895892145362,2.110639960557694,11.288891273958109,15.106683470276373,15.825661875815893,16.9392805919028,16.02121194287514,22.47431272794671,17.97657387195916,14.468451980690489,15.542106985356355,14.154971632915618,14.693266219763274,16.765752868606853,5.357161182468985,14.490095773937668,17.306896952545515,4.129449486503347,12.173341423482555,3.8823446960583397,0.056515057243956335,0.0,0.0,0.0,0.0,1.538516336165486,3.3428727100287574,3.50845691984037,8.167813709714949,15.847185314932972,16.529191207295867,9.706895556407346,6.7561168891194825,4.720496585758269,5.748820249811558,1.6792648680159914,1.4675070692282475,1.2913046238349466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0iv,0.062044642466808145,0.5955617144306113,2.440935415497797,4.069128892187898,3.421711709099524,4.902302054457744,5.273439752013305,4.121730758747287,3.460751731549447,1.0572841015812102,0.9854344803229971,0.0,0.0,0.748083854076306,0.013890120457212163,0.46000906769100425,2.1888616082315977,2.462569740582829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10s,1.9844512180960776,13.071713084167586,18.577660771944696,11.109384577336904,13.749943597551471,10.675339914802151,11.55859940284148,10.891600559050389,9.998905550261497,10.669818541287853,9.37957597936871,11.159513638693184,7.501006873852788,2.8496389991398132,1.5458912805172247,2.7093704450535654,6.031305962126623,4.512929434239908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11b,0.03804132175464945,0.19790308322441583,0.7262795194599436,1.5299570931274045,1.8373332977653116,1.9063581992136118,2.490660329273757,2.969396963483881,1.1156234027542276,2.507228531708419,2.640092300118434,0.30068490032966366,1.5270874542504416,2.2103036424588325,1.8521301891143231,0.03227167212907034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,1.7028714715395712,8.113514665644534,15.947834887312018,13.638498010175816,9.744190345981892,10.199065227702263,14.20602713338544,15.182528485938647,12.549355829045368,10.828839676487334,10.703143774832412,7.075717941407731,8.505951469263266,3.386062910493905,2.21599303839605,0.0,10.394106190226182,4.5809433963213735,0.4205157722345234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13q,1.7014535449485764,10.483530041222213,12.263646947959375,11.59241569068001,12.127848441009675,11.18285358207401,10.875472790871704,10.94224395177649,9.976148361649322,12.102723606463911,13.632552740018056,9.226880522395106,6.232687858651161,2.911133752616479,0.0,6.641764342303929,3.5306791547283183,3.1836485482878913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1dm,0.19384691823358063,2.4971103846716667,10.227637098950973,14.494960355585958,17.438545791392784,18.156394237768026,16.986511159641374,21.10406332308075,19.744807095225624,16.978955901380942,17.76558027672087,17.403416323232022,15.309263063127759,19.209992882040012,6.617031193676212,12.82056214057468,17.829223694978452,4.681271811309273,6.721118347117795,11.333681183967713,0.6505802748377505,0.0,0.0,0.0,1.2403102102533694,0.17185101508016487,4.696284309539749,6.782375721655853,9.471692069199207,12.526685578318165,12.050448345900747,10.828970356931393,5.515569317885479,3.411657810203792,7.761972779362793,5.095859976244299,1.652560552048044,1.5595459953265731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
