case_id,reference_type,model_file,reference_file,model_frequency_column,model_intensity_column,reference_frequency_column,reference_intensity_column,spectrum_label,notes
4ba_LiGe2_PO4_3_mp-541272_LiPDOS,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/4ba_LiGe2_PO4_3_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-541272_LiGe2_PO4_3_NIMS_as_stored.csv,Frequency_THz,Li_PDOS,Frequency_THz,Li_PDOS,Li-PDOS,"Structurally screened OBELiX train ID 4ba; LiGe2(PO4)3; NIMS mp-541272; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
4ba_LiGe2_PO4_3_mp-541272_total,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/4ba_LiGe2_PO4_3_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-541272_LiGe2_PO4_3_NIMS_as_stored.csv,Frequency_THz,Total_DOS,Frequency_THz,Total_DOS,Total DOS,"Structurally screened OBELiX train ID 4ba; LiGe2(PO4)3; NIMS mp-541272; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
4p7_Li3ClO_mp-985585_LiPDOS,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/4p7_Li3ClO_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-985585_Li3ClO_NIMS_as_stored.csv,Frequency_THz,Li_PDOS,Frequency_THz,Li_PDOS,Li-PDOS,"Structurally screened OBELiX test ID 4p7; Li3ClO; NIMS mp-985585; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
4p7_Li3ClO_mp-985585_total,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/4p7_Li3ClO_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-985585_Li3ClO_NIMS_as_stored.csv,Frequency_THz,Total_DOS,Frequency_THz,Total_DOS,Total DOS,"Structurally screened OBELiX test ID 4p7; Li3ClO; NIMS mp-985585; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
9lo_Li3PO4_mp-2878_LiPDOS,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/9lo_Li3PO4_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-2878_Li3PO4_NIMS_as_stored.csv,Frequency_THz,Li_PDOS,Frequency_THz,Li_PDOS,Li-PDOS,"Structurally screened OBELiX train ID 9lo; Li3PO4; NIMS mp-2878; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
9lo_Li3PO4_mp-2878_total,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/9lo_Li3PO4_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-2878_Li3PO4_NIMS_as_stored.csv,Frequency_THz,Total_DOS,Frequency_THz,Total_DOS,Total DOS,"Structurally screened OBELiX train ID 9lo; Li3PO4; NIMS mp-2878; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
gvd_Li3N_mp-2251_LiPDOS,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/gvd_Li3N_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-2251_Li3N_NIMS_as_stored.csv,Frequency_THz,Li_PDOS,Frequency_THz,Li_PDOS,Li-PDOS,"Structurally screened OBELiX train ID gvd; Li3N; NIMS mp-2251; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
gvd_Li3N_mp-2251_total,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/gvd_Li3N_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-2251_Li3N_NIMS_as_stored.csv,Frequency_THz,Total_DOS,Frequency_THz,Total_DOS,Total DOS,"Structurally screened OBELiX train ID gvd; Li3N; NIMS mp-2251; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
i47_LiZnPS4_mp-11175_LiPDOS,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/i47_LiZnPS4_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-11175_LiZnPS4_NIMS_as_stored.csv,Frequency_THz,Li_PDOS,Frequency_THz,Li_PDOS,Li-PDOS,"Structurally screened OBELiX test ID i47; LiZnPS4; NIMS mp-11175; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
i47_LiZnPS4_mp-11175_total,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/i47_LiZnPS4_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-11175_LiZnPS4_NIMS_as_stored.csv,Frequency_THz,Total_DOS,Frequency_THz,Total_DOS,Total DOS,"Structurally screened OBELiX test ID i47; LiZnPS4; NIMS mp-11175; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
l9v_Li3AlF6_mp-15254_LiPDOS,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/l9v_Li3AlF6_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-15254_Li3AlF6_NIMS_as_stored.csv,Frequency_THz,Li_PDOS,Frequency_THz,Li_PDOS,Li-PDOS,"Structurally screened OBELiX train ID l9v; Li3AlF6; NIMS mp-15254; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
l9v_Li3AlF6_mp-15254_total,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/l9v_Li3AlF6_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-15254_Li3AlF6_NIMS_as_stored.csv,Frequency_THz,Total_DOS,Frequency_THz,Total_DOS,Total DOS,"Structurally screened OBELiX train ID l9v; Li3AlF6; NIMS mp-15254; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
ldx_LiGe2_PO4_3_mp-541272_LiPDOS,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/ldx_LiGe2_PO4_3_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-541272_LiGe2_PO4_3_NIMS_as_stored.csv,Frequency_THz,Li_PDOS,Frequency_THz,Li_PDOS,Li-PDOS,"Structurally screened OBELiX train ID ldx; LiGe2(PO4)3; NIMS mp-541272; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
ldx_LiGe2_PO4_3_mp-541272_total,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/ldx_LiGe2_PO4_3_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-541272_LiGe2_PO4_3_NIMS_as_stored.csv,Frequency_THz,Total_DOS,Frequency_THz,Total_DOS,Total DOS,"Structurally screened OBELiX train ID ldx; LiGe2(PO4)3; NIMS mp-541272; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
mq1_Li3SbS4_mp-756316_LiPDOS,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/mq1_Li3SbS4_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-756316_Li3SbS4_NIMS_as_stored.csv,Frequency_THz,Li_PDOS,Frequency_THz,Li_PDOS,Li-PDOS,"Structurally screened OBELiX train ID mq1; Li3SbS4; NIMS mp-756316; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
mq1_Li3SbS4_mp-756316_total,NIMS_DFT_Phonopy_as_stored,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/model_csv/mq1_Li3SbS4_MatterSim_OptionA.csv,/content/drive/MyDrive/OBELiX_reviewer_inputs/reference_spectra_preparation/reference_csv/mp-756316_Li3SbS4_NIMS_as_stored.csv,Frequency_THz,Total_DOS,Frequency_THz,Total_DOS,Total DOS,"Structurally screened OBELiX train ID mq1; Li3SbS4; NIMS mp-756316; mesh=(18, 18, 18); sigma=0.1 THz; NAC=as_stored; acceptance=strict_structure_match."
