split,ID,family,spectrum_file,n_frequency_points,min_plotted_frequency_THz,max_plotted_frequency_THz,median_native_spacing_THz,max_native_spacing_THz,points_0_to_100_THz,total_positive_area_0_to_100,Li_positive_area_0_to_100,coarse_grid_flag,high_max_frequency_flag,very_high_max_frequency_flag,negative_plotted_grid_endpoint_flag
test,0ii,perovskites,/content/obelix_composition_audit/combined_option_a_spectra/test/0ii/0ii_combined_Total_DOS_Li_PDOS.csv,201,-1.831694632453185,28.16583073467676,0.14998762683564948,0.14998762683565658,188,11.799019217321678,0.0,False,False,False,True
test,1ty,nan,/content/obelix_composition_audit/combined_option_a_spectra/test/1ty/1ty_combined_Total_DOS_Li_PDOS.csv,201,-1.7724706262186,14.883266474711911,0.08327868550465212,0.08327868550465745,179,108.80486869398139,48.64208233204039,False,False,False,True
test,24k,argyrodites,/content/obelix_composition_audit/combined_option_a_spectra/test/24k/24k_combined_Total_DOS_Li_PDOS.csv,201,-1.6950521107331566,19.308351516132213,0.10501701813432684,0.10501701813433328,184,134.3079890283349,39.098541723950035,False,False,False,True
test,2d1,garnet,/content/obelix_composition_audit/combined_option_a_spectra/test/2d1/2d1_combined_Total_DOS_Li_PDOS.csv,201,-53.42612688996765,588.7800562979386,3.2110309159395456,3.2110309159396024,31,618.1848133249713,158.5939349205775,True,True,True,True
test,2r7,molybdates,/content/obelix_composition_audit/combined_option_a_spectra/test/2r7/2r7_combined_Total_DOS_Li_PDOS.csv,201,-3.5760849885776085,30.687988493310723,0.17132036740944168,0.17132036740945011,180,223.30457871629017,35.98362257703289,False,False,False,True
test,2uv,Chalcogenidotetrelates,/content/obelix_composition_audit/combined_option_a_spectra/test/2uv/2uv_combined_Total_DOS_Li_PDOS.csv,201,-1.0760782331335723,12.643587068617355,0.06859832650875462,0.06859832650875752,185,110.79544927145515,48.549885560500314,False,False,False,True
test,3rh,garnet,/content/obelix_composition_audit/combined_option_a_spectra/test/3rh/3rh_combined_Total_DOS_Li_PDOS.csv,201,-53.04730494745677,584.6675133860954,3.1885740916677605,3.188574091667874,31,550.0089488667089,151.4085497018052,True,True,True,True
test,4ie,garnet,/content/obelix_composition_audit/combined_option_a_spectra/test/4ie/4ie_combined_Total_DOS_Li_PDOS.csv,201,-51.02891792442056,562.4218066930615,3.06725362308741,3.067253623087538,33,559.9223867738366,137.9329864885912,True,True,True,True
test,4p7,antiperovskite,/content/obelix_composition_audit/combined_option_a_spectra/test/4p7/4p7_combined_Total_DOS_Li_PDOS.csv,201,-2.829742701507762,21.55975104201364,0.12194746871760742,0.12194746871761808,177,14.75427541007305,8.855016301819362,False,False,False,True
test,7cr,Borophosphates,/content/obelix_composition_audit/combined_option_a_spectra/test/7cr/7cr_combined_Total_DOS_Li_PDOS.csv,201,-4.875590744076707,40.468921370589214,0.22672256057332962,0.22672256057334295,179,84.41893840966367,12.56765190994649,False,False,False,True
test,9n0,perovskites,/content/obelix_composition_audit/combined_option_a_spectra/test/9n0/9n0_combined_Total_DOS_Li_PDOS.csv,201,-6.6073543787089655,32.33600407639956,0.19471679227554262,0.19471679227554972,167,264.89436152324106,8.812574800320153,False,False,False,True
test,9o6,garnet,/content/obelix_composition_audit/combined_option_a_spectra/test/9o6/9o6_combined_Total_DOS_Li_PDOS.csv,201,-2.1269679031015425,24.58198214652525,0.1335447502481344,0.1335447502481415,185,533.7252369390003,136.1691899995049,False,False,False,True
test,aab,nan,/content/obelix_composition_audit/combined_option_a_spectra/test/aab/aab_combined_Total_DOS_Li_PDOS.csv,201,-1.093131155429525,12.72276228537608,0.069079467204028,0.06907946720403046,185,108.17548186167394,48.94409089355376,False,False,False,True
test,ar1,nan,/content/obelix_composition_audit/combined_option_a_spectra/test/ar1/ar1_combined_Total_DOS_Li_PDOS.csv,201,-1.4913642317303566,15.409155995369888,0.08450260113550101,0.08450260113550456,183,108.80090434756846,48.11982335581177,False,False,False,True
test,ard,oxides,/content/obelix_composition_audit/combined_option_a_spectra/test/ard/ard_combined_Total_DOS_Li_PDOS.csv,201,-4.683522684869461,38.04621088322918,0.2136486678404932,0.21364866784050207,179,289.79663327948106,24.46999210364948,False,False,False,True
test,b56,molybdates,/content/obelix_composition_audit/combined_option_a_spectra/test/b56/b56_combined_Total_DOS_Li_PDOS.csv,201,-3.228870915184269,30.798645617223183,0.1701375826620371,0.1701375826620506,182,231.00798952391614,23.722446892980372,False,False,False,True
test,bnu,oxides,/content/obelix_composition_audit/combined_option_a_spectra/test/bnu/bnu_combined_Total_DOS_Li_PDOS.csv,201,-2.544510599995406,29.09267281178725,0.15818591705891324,0.1581859170589226,184,379.01414742776046,54.18038470721494,False,False,False,True
test,br1,nitrides,/content/obelix_composition_audit/combined_option_a_spectra/test/br1/br1_combined_Total_DOS_Li_PDOS.csv,201,-2.154601853304815,27.201174931991336,0.14677888392648009,0.14677888392648697,186,142.10881868976088,71.53726573829775,False,False,False,True
test,cfy,thio-LISICON,/content/obelix_composition_audit/combined_option_a_spectra/test/cfy/cfy_combined_Total_DOS_Li_PDOS.csv,201,-2.0673248545962752,20.62805963286799,0.11347692243732155,0.1134769224373251,182,29.459016640137925,6.028351353848287,False,False,False,True
test,cti,garnet,/content/obelix_composition_audit/combined_option_a_spectra/test/cti/cti_combined_Total_DOS_Li_PDOS.csv,201,-57.80310633028275,595.4056608316608,3.266043835809718,3.266043835809853,31,572.4089372559203,135.04385332355037,True,True,True,True
